,elev,long,lat,temp,dstl,mass
588,327,-97.3,46.5,-32.2,99.7,663.6617437
590,327,-97.3,46.5,-32.2,95.3,579.6155266
591,327,-97.3,46.5,-32.2,106,797.5885388
592,327,-97.3,46.5,-32.2,99.1,651.7518495
593,327,-97.3,46.5,-32.2,99.8,665.6607235
594,405,-96.9,37.9,-30.2,101.1,692.0138326
595,405,-96.9,37.9,-30.2,91.6,514.6923696
596,405,-96.9,37.9,-30.2,92,521.4645513
597,405,-96.9,37.9,-30.2,94.8,570.540293
598,405,-96.9,37.9,-30.2,95.8,588.7864896
599,405,-96.9,37.9,-30.2,95.7,586.9446145
600,405,-96.9,37.9,-30.2,95.8,588.7864896
601,405,-96.9,37.9,-30.2,94.1,557.9948352
602,405,-96.9,37.9,-30.2,114.2,997.3776237
603,405,-96.9,37.9,-30.2,96.2,596.1925227
604,405,-96.9,37.9,-30.2,92.9,536.9186021
605,405,-96.9,37.9,-30.2,94.7,568.7366896
606,405,-96.9,37.9,-30.2,98.4,638.0380868
607,405,-96.9,37.9,-30.2,97.2,614.9787418
608,405,-96.9,37.9,-30.2,108.8,862.4779383
609,405,-96.9,37.9,-30.2,101.8,706.4877613
610,1705,-104.5,41.1,-30.2,102.3,716.9489119
611,1705,-104.5,41.1,-30.2,97.9,628.3612345
612,1705,-104.5,41.1,-30.2,101.8,706.4877613
613,1705,-104.5,41.1,-30.2,110.8,910.9207394
614,1705,-104.5,41.1,-30.2,101.5,700.2601872
615,1705,-104.5,41.1,-30.2,110.3,898.6443459
616,1705,-104.5,41.1,-30.2,110.2,896.2023789
617,1705,-104.5,41.1,-30.2,103.6,744.6300784
618,680,-99.3,40.5,-30.4,113.4,976.5634649
619,680,-99.3,40.5,-30.4,100.2,673.6967828
620,680,-99.3,40.5,-30.4,101.2,694.0693178
621,680,-99.3,40.5,-30.4,114.4,1002.626969
623,680,-99.3,40.5,-30.4,106.9,818.0774552
624,1285,-103.4,40.6,-30.5,103.1,733.9007046
625,1285,-103.4,40.6,-30.5,122,1216.020232
626,1285,-103.4,40.6,-30.5,113.2,971.40557
627,1285,-103.4,40.6,-30.5,113,966.2658687
629,1285,-103.4,40.6,-30.5,102.6,723.2748954
630,1285,-103.4,40.6,-30.5,115,1018.485452
631,1285,-103.4,40.6,-30.5,101.8,706.4877613
632,1285,-103.4,40.6,-30.5,121.1,1189.306352
633,1285,-103.4,40.6,-30.5,99.8,665.6607235
634,1285,-103.4,40.6,-30.5,118.6,1117.159996
635,1285,-103.4,40.6,-30.5,104.8,770.8061246
636,1285,-103.4,40.6,-30.5,115.6,1034.510281
637,1285,-103.4,40.6,-30.5,105.1,777.4446099
638,1285,-103.4,40.6,-30.5,104.3,759.8261466
639,1285,-103.4,40.6,-30.5,110.3,898.6443459
640,1285,-103.4,40.6,-30.5,100.5,679.7660869
641,1285,-103.4,40.6,-30.5,100.6,681.7972591
642,1285,-103.4,40.6,-30.5,122.3,1225.01295
643,1285,-103.4,40.6,-30.5,115.7,1037.197319
644,1285,-103.4,40.6,-30.5,100.7,683.8324734
645,1285,-103.4,40.6,-30.5,117,1072.553326
646,1285,-103.4,40.6,-30.5,108.2,848.2875462
647,1285,-103.4,40.6,-30.5,98.3,636.0948249
648,1285,-103.4,40.6,-30.5,97.3,616.8787777
649,1285,-103.4,40.6,-30.5,107.4,829.6103335
650,1285,-103.4,40.6,-30.5,103.7,746.7884252
651,1285,-103.4,40.6,-30.5,100.5,679.7660869
652,1285,-103.4,40.6,-30.5,110.9,913.3893579
653,1285,-103.4,40.6,-30.5,99,649.7808271
654,1285,-103.4,40.6,-30.5,101,689.9624095
655,1285,-103.4,40.6,-30.5,110.1,893.7648397
656,1285,-103.4,40.6,-30.5,110.6,905.9968542
657,1285,-103.4,40.6,-30.5,103.7,746.7884252
658,1285,-103.4,40.6,-30.5,109.8,886.4787493
659,1285,-103.4,40.6,-30.5,106.9,818.0774552
660,1285,-103.4,40.6,-30.5,103.6,744.6300784
661,1285,-103.4,40.6,-30.5,110.9,913.3893579
662,1285,-103.4,40.6,-30.5,119.2,1134.201128
663,1285,-103.4,40.6,-30.5,105.4,784.1211017
664,1285,-103.4,40.6,-30.5,98.6,641.9364758
665,1285,-103.4,40.6,-30.5,115.5,1031.827888
666,1285,-103.4,40.6,-30.5,114.1,994.759836
667,1285,-103.4,40.6,-30.5,114,992.1466329
668,1285,-103.4,40.6,-30.5,114.8,1013.180851
669,1049,-102.1,41.3,-31.1,96.3,598.0536843
670,1049,-102.1,41.3,-31.1,103.5,742.4758944
671,1049,-102.1,41.3,-31.1,111.4,925.7993709
674,1049,-102.1,41.3,-31.2,105,775.2275639
676,1049,-102.1,41.3,-31.2,102.5,721.1621171
677,1049,-102.1,41.3,-31.2,97.8,626.437681
685,1020,-101.4,34.5,-31.2,100.5,679.7660869
686,1020,-101.4,34.5,-31.2,93.2,542.1369971
687,1020,-101.4,34.5,-31.2,102.5,721.1621171
688,1450,-104.5,40.4,-31.2,102.1,712.7521484
689,1450,-104.5,40.4,-31.2,100.3,675.7158527
690,1450,-104.5,40.4,-31.2,99.7,663.6617437
691,1450,-104.5,40.4,-31.2,114.3,1000
692,1450,-104.5,40.4,-31.2,98.4,638.0380868
693,1450,-104.5,40.4,-31.2,104.4,762.0137445
694,1450,-104.5,40.4,-31.2,105,775.2275639
695,1450,-104.5,40.4,-31.2,100.8,685.8717339
696,1450,-104.5,40.4,-31.2,108.1,845.9377205
697,1450,-104.5,40.4,-31.2,100.1,671.6817389
698,1450,-104.5,40.4,-31.2,107,820.3754243
699,1450,-104.5,40.4,-31.2,97.5,620.6905823
700,1450,-104.5,40.4,-31.2,116.5,1058.861322
701,1450,-104.5,40.4,-31.2,106.4,806.6519587
702,1450,-104.5,40.4,-31.2,96.8,607.4176129
703,1450,-104.5,40.4,-31.2,103.9,751.1176227
704,1450,-104.5,40.4,-31.2,97.4,618.7827232
705,1450,-104.5,40.4,-31.2,105,775.2275639
706,1450,-104.5,40.4,-31.2,98,630.2887216
707,1450,-104.5,40.4,-31.2,99,649.7808271
708,1000,-101.5,39.5,-31.2,104,753.2884815
709,1000,-101.5,39.5,-31.2,98,630.2887216
710,1000,-101.5,39.5,-31.2,92,521.4645513
711,1000,-101.5,39.5,-31.2,95,574.1589311
712,1000,-101.5,39.5,-31.2,98,630.2887216
714,1000,-101.5,39.5,-31.2,102,710.6599223
715,1000,-101.5,39.5,-31.7,108.5,855.3631243
716,1000,-101.5,39.5,-31.7,112.8,961.1443288
717,1000,-101.5,39.5,-31.7,112.8,961.1443288
718,2082,-109.3,42,-31.7,116.2,1050.702324
719,2082,-109.3,42,-31.7,116.8,1067.06245
720,2082,-109.3,42,-31.7,121.2,1192.255044
721,2082,-109.3,42,-31.7,112.7,958.5903594
722,2082,-109.3,42,-31.7,110.5,903.5415795
723,2082,-109.3,42,-31.7,119.5,1142.786298
724,2082,-109.3,42,-31.7,112.8,961.1443288
725,2082,-109.3,42,-31.7,109.3,874.4234476
726,2082,-109.3,42,-31.7,109.1,869.6320969
727,2082,-109.3,42,-31.7,112.3,948.4197247
728,2082,-109.3,42,-31.7,120.3,1165.891647
729,2082,-109.3,42,-31.7,105.3,781.8913748
